"","team_name","domain","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w2","MASE1_w2","Method.code","phase","revised"
"105","WQXZ","egend",0.75991,0.75117,0.76109,0.77063,0.78902,0.78173,0.0225251356666667,0.58045659470081,"Data-Driven",1,1
"106","Team Supreme Ignorance","egend",0.7877114,0.7857527,0.783794,0.7818353,0.7798766,0.7779179,0.0231404623333333,0.596313121686815,"Data-Driven",2,0
"107","Bordeaux","egend",0.771,0.77,0.769,0.767,0.783,0.766,0.0235101356666667,0.605839338416151,"Data-Driven",1,1
"108","BRTWN","egend",0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.0253839623333334,0.654126508006987,"Data-Driven",1,1
"109","Heisenburg","egend",0.792475745560415,0.762395095466423,0.685754666188803,0.740007488915903,0.756890284332696,0.827680076459365,0.0291105890909999,0.750159007410623,"Data-Driven",1,0
"110","LongerSquigglyLines","egend",0.66998,0.790109,0.787122,0.737026,0.768285,0.798529,0.0299164416666667,0.770925250456815,"Data-Driven",1,1
"111","datamodelers","egend",0.7587136,0.68222,0.7324353,0.7483854,0.777002,0.7968079,0.0306271263333333,0.789239084727295,"Data-Driven",2,0
"112","Team29","egend",0.8,0.8,0.8,0.8,0.8,0.8,0.0338072350000001,0.871188204801344,"Intuition/Theory",1,1
"113","MLTS","egend",0.803078724965778,0.802073312100686,0.801067899235595,0.800062486370503,0.799057073505412,0.798051660640321,0.0343724278030492,0.885752818069923,"Data-Driven",2,1
"114","adamman","egend",0.759608316,0.735734954666667,0.807410600333333,0.80500426045,0.836063815566667,0.817945955683333,0.037981936561111,0.978767270602069,"Data-Driven",2,0
"115","FrostNova","egend",0.82,0.81,0.81,0.8,0.8,0.79,0.0395420956666667,1.01897145205535,"Intuition/Theory",2,0
"116","Otto","egend",0.78,0.76,0.83,0.81,0.88,0.79,0.0431557856666667,1.11209365219412,"Intuition/Theory",2,0
"117","1859","egend",0.735167351886937,0.875315332592794,0.792546714980203,0.729221431665567,0.828196749975946,0.80113527129313,0.0450503052149282,1.16091406250602,"Data-Driven",1,1
"118","Imielin","egend",0.82,0.82,0.81,0.8,0.81,0.81,0.0454739016666667,1.17182983933161,"Intuition/Theory",2,1
"119","Sociology","egend",0.81211682852466,0.81211682852466,0.81211682852466,0.81211682852466,0.81211682852466,0.81211682852466,0.0459240635246601,1.18343018762793,"Intuition/Theory",2,1
